Page_title	page_id	%revision	objective_frequency	obj_avg	well_writ_freq	well_writ_avg
Encuesta,_Inc.	17738346	440324811	54	3.944444	56	4.107143
Responsibility_assignment_matrix	962858	445009882	0	0.000000	33	3.939394
Ruskin_Bond	965456	440458089	33	3.696970	50	4.060000
Ruskin_Bond	965456	494661784	36	3.916667	42	4.500000
Sloth	5168174	479901518	36	3.611111	40	3.575000
Jonathan_Manzi	26145302	465451407	53	4.660377	53	4.641509
East_Bengal_F.C.	981724	495241308	50	1.000000	62	1.000000
Elementary_physics_formulae	9373589	451665433	0	0.000000	32	3.625000
NFPA_704	987544	445102595	33	4.666667	35	4.342857
William_Shakespeare	32897	448058891	79	3.620253	87	3.931034
William_Shakespeare	32897	494218263	159	3.610063	170	3.529412
William_Shakespeare	32897	461937696	33	3.787879	35	3.685714
William_Shakespeare	32897	463318057	45	3.800000	46	3.869565
William_Shakespeare	32897	484801085	30	3.766667	31	3.838710
William_Shakespeare	32897	451268670	145	3.648276	160	3.806250
William_Shakespeare	32897	471694452	0	0.000000	35	3.885714
William_Shakespeare	32897	487291510	85	3.376471	89	3.426966
William_Shakespeare	32897	475432586	37	3.405405	39	3.282051
William_Shakespeare	32897	479465109	53	3.283019	58	3.465517
William_Shakespeare	32897	442335390	32	3.062500	34	3.352941
William_Shakespeare	32897	478520529	35	3.857143	37	3.540541
William_Shakespeare	32897	468201170	32	3.968750	36	3.750000
William_Shakespeare	32897	469598039	96	3.354167	97	3.278351
William_Shakespeare	32897	489397082	0	0.000000	30	3.066667
William_Shakespeare	32897	477564778	45	3.311111	47	3.723404
William_Shakespeare	32897	458967925	43	3.348837	48	3.791667
William_Shakespeare	32897	460460431	38	3.868421	39	4.153846
William_Shakespeare	32897	481344446	35	3.714286	36	3.638889
William_Shakespeare	32897	464676292	66	3.757576	76	3.921053
William_Shakespeare	32897	444906445	31	3.419355	31	3.903226
William_Shakespeare	32897	490425819	49	3.265306	53	3.471698
William_Shakespeare	32897	483493370	37	3.162162	42	3.357143
Substantive_law	990508	452937021	37	4.162162	47	3.723404
Mobile_(sculpture)	994028	440756107	48	4.104167	56	3.803571
Mobile_(sculpture)	994028	440812339	46	4.239130	52	3.980769
Endurance	997680	440474624	33	2.939394	32	2.781250
Jaffa_Cakes	1001707	439610730	0	0.000000	33	4.181818
Five_themes_of_geography	9390696	450739779	62	3.645161	68	3.382353
Halo_4	13587263	482528319	51	4.294118	57	4.315789
Halo_4	13587263	459251352	33	4.333333	35	3.885714
Halo_4	13587263	476530878	33	4.060606	36	4.083333
Halo_4	13587263	471265049	118	4.194915	126	4.309524
Halo_4	13587263	489750257	32	4.437500	32	4.250000
Halo_4	13587263	498389960	37	4.324324	39	4.384615
Halo_4	13587263	479722466	37	4.027027	37	4.027027
Halo_4	13587263	495871464	0	0.000000	31	4.580645
Lady_Gaga	17782843	441723316	0	0.000000	31	3.935484
Lady_Gaga	17782843	441041931	31	3.580645	35	3.857143
Tachymeter_(watch)	1005868	453191364	0	0.000000	31	4.032258
Tachymeter_(watch)	1005868	480192447	32	4.312500	45	3.955556
Tibetan_silver	21980575	401901733	78	4.205128	90	4.344444
Abigail_and_Brittany_Hensel	1009476	463932224	78	4.397436	101	4.564356
Abigail_and_Brittany_Hensel	1009476	467355488	38	4.526316	47	4.617021
Anant_Pai	1013676	450847749	0	0.000000	31	4.322581
Anant_Pai	1013676	450945880	59	4.152542	75	4.346667
Anant_Pai	1013676	450928160	54	3.962963	66	4.106061
Anant_Pai	1013676	450866723	0	0.000000	31	4.290323
Anant_Pai	1013676	450898475	0	0.000000	32	4.187500
Anant_Pai	1013676	450934230	75	4.146667	94	4.255319
Anant_Pai	1013676	450920539	0	0.000000	31	4.225806
Anant_Pai	1013676	450966620	54	3.611111	77	3.948052
Rockstar_(2011_film)	33286012	457112442	34	3.735294	42	4.142857
Shahid_Kapoor	1016409	499323975	0	0.000000	30	4.500000
Johari_window	1017447	467472741	38	3.815789	46	3.739130
Johari_window	1017447	439550586	0	0.000000	36	3.750000
Burzynski_Clinic	1018018	492247621	64	1.203125	50	2.440000
Burzynski_Clinic	1018018	456302300	113	1.300885	86	2.348837
Burzynski_Clinic	1018018	497328379	38	1.184211	31	2.161290
Burzynski_Clinic	1018018	478020873	158	1.265823	121	2.570248
Burzynski_Clinic	1018018	458025194	51	1.470588	39	2.794872
Burzynski_Clinic	1018018	459312010	77	1.298701	67	2.776119
Strangler_fig	1018536	484175345	0	0.000000	30	2.866667
Marlin_Model_336	5213782	459316692	0	0.000000	36	4.750000
Environmentally_friendly	1021673	449671865	32	3.500000	31	3.258065
Laboratory_equipment	1023648	499732869	0	0.000000	31	3.096774
Laboratory_equipment	1023648	438286281	31	3.161290	33	3.757576
Net_D	1029359	387355910	43	4.674419	60	4.316667
Black_History_Month	1030599	476893560	51	3.705882	56	3.714286
Gabe_Newell	1030713	443164656	33	4.212121	37	3.945946
Gabe_Newell	1030713	458337301	0	0.000000	33	3.818182
Compound_sentence	1031165	455618944	41	3.853659	49	3.836735
Compound_sentence	1031165	445417551	46	3.891304	49	3.897959
Compound_sentence	1031165	465280755	106	3.726415	111	3.675676
List_of_Skip_Beat!_episodes	19745337	443046548	35	3.828571	40	3.925000
Kathleen_Falk	5225977	485778254	32	1.156250	0	0.000000
Complex_sentence	1032064	455618913	110	3.381818	117	3.418803
Complex_sentence	1032064	472828263	46	3.021739	47	2.978723
Complex_sentence	1032064	483063895	53	3.037736	57	2.964912
2001_Gujarat_earthquake	1032075	462265827	39	3.871795	49	4.000000
Rainwater_harvesting	1032545	466147525	0	0.000000	31	3.838710
Rowlatt_Act	1048094	420395787	39	3.615385	44	3.818182
Ammonium_sulfate_precipitation	1055257	440160162	35	3.571429	40	3.325000
Capital_of_Brazil	13458361	451543809	0	0.000000	30	3.666667
Economic_Opportunity_Act_of_1964	1058990	484275106	31	3.354839	31	3.032258
English_auxiliaries_and_contractions	1059877	453068795	55	3.709091	65	3.692308
Newton's_rings	1060624	440598839	32	3.656250	41	4.000000
Variable_and_attribute_(research)	30423282	456450044	0	0.000000	30	3.866667
Smart_material	1065009	446855682	0	0.000000	31	2.870968
Smart_material	1065009	492113758	43	2.883721	42	2.523810
Smart_material	1065009	454097760	0	0.000000	33	3.212121
Fold_mountain	17842246	457401993	30	3.833333	30	3.666667
